PM2_5
30
29
28
34
32
34
32
36
37
37
31
34
34
31
32
32
32
31
31
32
35
34
33
30
29
28
28
28
28
28
27
27
27
28
29
31
31
32
31
30
29
28
27
29
29
29
29
27
28
29
29
28
28
29
29
31
30
29
30
31
32
30
29
29
29
30
32
29
32
30
29
27
27
26
27
28
28
29
29
32
33
30
29
27
30
31
29
27
26
33
32
30
29
27
26
25
26
28
28
27
27
26
27
26
27
28
29
29
29
27
28
28
27
29
30
31
31
29
26
26
27
29
30
30
30
28
27
27
27
27
28
27
29
31
33
31
30
27
25
24
23
25
26
29
27
26
29
28
31
32
30
29
29
28
28
29
29
28
28
28
27
28
28
31
30
30
26
27
27
29
28
28
27
25
25
26
27
27
28
26
25
25
26
27
26
27
28
25
27
28
29
33
32
32
29
29
30
32
30
27
27
28
28
28
28
26
26
27
27
33
33
29
28
27
26
26
26
28
29
27
29
29
29
28
28
26
27
28
27
26
26
25
24
26
27
25
26
24
26
26
25
25
24
26
26
25
25
27
27
26
26
26
27
28
29
29
28
27
28
26
26
26
25
25
25
28
28
27
28
25
25
25
25
25
24
23
27
30
30
30
28
29
31
31
29
29
31
31
30
28
25
28
29
30
28
26
25
26
26
25
26
26
26
28
29
30
29
27
25
24
24
25
25
24
24
25
25
26
29
34
29
28
28
26
26
28
25
27
26
24
24
25
26
28
28
29
26
32
32
28
30
30
30
30
31
31
31
28
28
27
27
26
26
27
26
27
28
27
27
26
25
33
33
33
32
25
27
34
32
31
29
27
27
28
27
27
27
25
27
30
30
29
28
30
30
30
31
31
31
32
29
29
29
29
29
29
28
28
26
32
30
28
28
26
28
29
29
28
26
28
29
31
31
29
28
30
28
29
31
30
31
28
29
27
27
27
27
28
26
26
29
35
36
34
35
31
30
29
28
25
25
26
27
29
30
31
31
31
30
31
32
32
32
34
33
31
32
28
30
30
30
31
30
30
29
26
25
27
28
29
29
29
30
29
30
30
29
33
33
30
29
27
27
29
29
28
28
25
25
25
26
29
31
30
30
27
27
27
27
28
28
27
29
29
28
27
26
29
31
32
28
31
30
31
30
28
27
28
28
30
30
31
31
31
31
26
26
28
28
29
29
28
28
31
30
30
29
30
30
33
33
32
32
33
31
31
30
28
27
26
26
26
28
30
30
29
29
29
30
33
34
31
30
28
30
30
30
29
29
31
32
32
33
32
31
37
38
34
32
31
30
29
28
28
29
28
29
28
27
28
28
27
27
28
30
30
29
27
28
27
27
27
28
31
31
29
29
32
34
32
32
30
32
34
33
33
31
33
32
37
36
35
34
33
33
35
36
35
34
36
35
37
38
37
38
38
37
35
33
31
32
33
32
35
36
36
36
38
36
40
43
39
37
42
40
39
39
41
41
43
42
44
44
42
39
37
37
36
37
39
40
39
39
41
43
41
39
41
40
37
36
37
39
41
41
39
39
41
44
45
41
42
43
41
39
42
45
45
40
38
37
36
36
36
35
36
37
37
40
39
41
