PM10
31
30
29
35
34
34
33
39
40
39
32
36
36
33
33
34
33
33
33
36
38
36
36
32
30
28
28
28
28
28
27
27
29
30
31
32
33
34
33
32
31
28
27
29
29
29
29
30
31
34
34
30
29
30
30
32
31
30
30
33
34
30
29
29
29
31
33
30
32
32
31
29
28
26
27
28
28
29
29
33
34
30
29
27
30
31
29
27
27
33
33
33
33
30
28
25
26
28
28
27
28
27
28
26
28
29
30
29
29
27
28
29
27
30
30
31
31
29
27
28
29
30
31
30
30
28
28
28
28
27
28
27
29
31
34
31
30
27
25
24
23
25
26
29
28
27
31
30
33
32
30
30
30
29
29
30
30
31
29
28
27
28
28
31
31
33
30
29
30
31
29
29
28
26
27
28
27
27
29
28
27
25
26
28
28
29
30
26
27
29
31
36
34
33
29
29
30
34
33
28
28
29
30
30
29
26
26
27
27
33
33
30
29
28
26
26
27
28
29
27
30
30
30
28
28
26
27
28
27
26
26
26
25
27
29
26
26
24
27
28
27
26
26
28
28
25
25
28
28
27
27
26
27
28
29
29
29
28
28
26
26
26
25
25
25
29
29
31
31
27
26
26
25
25
26
25
28
30
30
30
28
33
34
32
30
31
35
33
33
29
25
28
31
32
29
26
25
26
26
25
27
27
27
28
29
31
30
29
26
27
27
28
27
24
24
25
25
27
31
36
31
30
30
26
26
29
26
28
28
26
26
25
26
28
28
29
26
32
32
29
31
31
30
30
32
34
34
31
30
29
30
28
28
29
29
30
30
27
28
27
26
33
33
33
32
25
27
36
34
33
29
27
27
28
27
27
27
25
27
31
31
31
30
30
30
32
33
32
32
33
30
30
30
31
30
29
28
28
26
33
31
29
30
26
29
32
30
29
27
28
29
31
31
29
28
30
28
29
31
31
31
28
29
27
27
27
27
28
26
29
31
36
38
36
35
31
30
29
28
25
25
27
30
31
31
32
31
32
31
31
32
34
35
36
34
31
32
28
30
30
30
31
30
30
29
26
25
27
28
31
31
31
32
30
32
32
30
38
36
33
32
27
27
30
31
30
29
26
25
26
27
30
33
31
31
27
27
29
29
30
29
28
30
30
28
27
26
30
31
33
28
31
32
33
32
29
28
29
29
31
31
31
31
32
32
26
27
28
28
30
32
31
31
32
32
32
32
32
32
35
34
34
33
35
35
32
31
28
27
26
26
26
28
30
30
29
30
30
32
35
34
31
30
32
32
31
30
31
31
32
35
33
33
32
31
40
40
36
33
33
32
30
29
28
29
29
30
29
27
28
31
30
30
32
30
30
29
27
28
27
27
27
28
31
31
29
29
32
35
34
34
30
32
34
33
33
31
33
32
40
39
36
36
35
34
36
37
39
38
40
36
37
38
38
39
39
39
37
35
33
32
33
32
37
38
38
37
42
40
42
45
42
44
45
42
41
41
42
44
45
42
44
44
42
39
38
38
38
37
40
41
40
42
45
45
42
42
42
41
39
39
38
40
45
45
41
41
41
44
45
41
45
46
43
42
45
47
46
40
38
37
37
37
36
37
38
39
41
44
44
44
